date_time,h_r,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-12T19:14:35Z,0.012222,0,0.03767,0,0.419416,27.54886,0.537422,22.378691
2021-08-12T19:14:35Z,0.012289,0,0.043033,0,0.41918,27.54886,0.538235,22.378691
2021-08-12T19:14:36Z,0.012361,0.614324,0.043163,0,0.424328,27.515088,0.537787,22.378691
2021-08-12T19:14:36Z,0.012429,0.501006,0.043292,0,0.41859,27.712835,0.538281,22.374376
2021-08-12T19:14:36Z,0.012498,0.415957,0.037735,0,0.413217,27.937349,0.537186,22.383006
2021-08-12T19:14:37Z,0.01257,0.403518,0.043227,0,0.419431,28.046429,0.538138,22.383006
2021-08-12T19:14:37Z,0.012706,0.40158,0.042969,0,0.421997,28.301485,0.539122,22.387321
2021-08-12T19:14:37Z,0.012779,0.401015,0.043227,0,0.516636,28.220799,0.537634,22.374376
2021-08-12T19:14:38Z,0.012915,0.398026,0.043292,0,0.809916,27.939509,0.536579,22.378691
2021-08-12T19:14:38Z,0.012987,0.399965,0.043163,0,0.809916,27.939509,0.536579,22.378691
2021-08-12T19:14:38Z,0.013122,0.393988,0.038058,0.522568,0.497335,27.710429,0.537555,22.374376
2021-08-12T19:14:39Z,0.013193,0.394311,0.037993,0.388003,1.160338,27.925173,0.53703,22.361431
2021-08-12T19:14:39Z,0.013265,0.400611,0.043486,0.524392,1.294067,27.857629,0.536139,22.361431
2021-08-12T19:14:39Z,0.013401,0.401903,0.043486,0.41096,1.711456,27.547933,0.535573,22.357116
2021-08-12T19:14:40Z,0.01347,0.396572,0.0378,0.210396,1.834808,27.552074,0.536906,22.348487
2021-08-12T19:14:40Z,0.013541,0.396815,0.038187,0.280348,1.847568,27.54886,0.538139,22.344172
2021-08-12T19:14:40Z,0.013612,0.402953,0.043809,0.280348,1.924131,27.54886,0.538012,22.331227
2021-08-12T19:14:41Z,0.01375,0.403034,0.043227,0.171024,1.979427,27.54886,0.538139,22.331227
2021-08-12T19:14:41Z,0.013819,0.40158,0.050076,0.161701,2.043229,27.54886,0.540267,22.305338
2021-08-12T19:14:41Z,0.01389,0.399884,0.069332,0.181442,2.043229,27.54886,0.539859,22.279448
2021-08-12T19:14:42Z,0.014029,0.401176,0.126968,0.162116,2.086828,28.765156,0.539321,22.279448
2021-08-12T19:14:42Z,0.014169,0.403599,0.1333,0.143769,2.113028,29.197467,0.539646,22.257874
2021-08-12T19:14:43Z,0.014306,0.405376,0.142152,0.139872,2.169011,28.520105,0.540849,22.21904
2021-08-12T19:14:43Z,0.014446,0.407072,0.150875,0.139872,5.447033,42.88737,0.660511,22.184521
2021-08-12T19:14:44Z,0.014584,0.40893,0.158952,0.21312999999999999,15.663382,43.548646,0.660511,22.154317
2021-08-12T19:14:44Z,0.014724,0.409415,0.171035,0.241449,15.357523,43.623571,0.660511,22.111168
2021-08-12T19:14:45Z,0.014862,0.410384,0.184022,0.309395,15.748016,42.285527,0.638529,22.085278
2021-08-12T19:14:45Z,0.015002,0.414261,0.20625,0.309395,15.465006,41.747938,0.63882,22.050759
2021-08-12T19:14:46Z,0.01514,0.416845,0.232807,0.314467,15.748016,42.413205,0.636733,22.037814
2021-08-12T19:14:46Z,0.015278,0.419672,0.259751,0.314467,18.972713,40.035594,0.633645,21.986036
2021-08-12T19:14:47Z,0.015417,0.431303,0.284111,0.377904,22.993859,39.602264,0.630125,21.929942
2021-08-12T19:14:47Z,0.015489,0.447456,0.3044,0.369146,21.715236,40.382828,0.634016,21.899738
2021-08-12T19:14:48Z,0.015627,0.482106,0.318809,0.378255,22.436147,40.439275,0.633831,21.886793
2021-08-12T19:14:48Z,0.015764,0.510698,0.346464,0.400173,25.306336,41.011893,0.637538,21.882478
2021-08-12T19:14:49Z,0.015903,0.539371,0.36966,0.386814,29.431257,39.66254,0.633288,21.81344
2021-08-12T19:14:49Z,0.016042,0.568043,0.402032,1.782057,35.696946,39.972259,0.653646,21.796181
2021-08-12T19:14:50Z,0.016181,0.592678,0.419931,2.0182,39.965944,40.034373,0.655269,21.757347
2021-08-12T19:14:50Z,0.01632,0.615697,0.44345,2.08367,40.367292,86.804644,0.629411,21.714198
2021-08-12T19:14:51Z,0.016461,0.632093,0.446616,2.108906,41.005317,104.753855,0.613636,21.679679
2021-08-12T19:14:51Z,0.016597,0.644773,0.453724,2.108906,42.391959,104.753855,0.613636,21.662419
2021-08-12T19:14:52Z,0.016737,0.656,0.470847,2.151407,42.434494,187.10537,0.632544,21.6279
